 102.0  0.250	   0.263  0.91682	  4.66535   4.47399
 104.0  0.250	   0.261  0.91649	  4.66535   4.47405
 106.0  0.250	   0.259  0.91617	  4.66535   4.47412
 108.0  0.250	   0.256  0.91585	  4.66535   4.47418
 110.0  0.250	   0.253  0.91553	  4.66535   4.47425
 112.0  0.250	   0.250  0.91522	  4.66536   4.47431
 114.0  0.250	   0.246  0.91491	  4.66536   4.47437
 116.0  0.250	   0.242  0.91461	  4.66536   4.47444
 118.0  0.250	   0.238  0.91431	  4.66536   4.47450
 120.0  0.250	   0.234  0.91402	  4.66536   4.47456
 122.0  0.250	   0.229  0.91373	  4.66536   4.47461
 124.0  0.250	   0.224  0.91345	  4.66536   4.47467
 126.0  0.250	   0.218  0.91318	  4.66536   4.47473
 128.0  0.250	   0.213  0.91291	  4.66536   4.47478
 130.0  0.250	   0.207  0.91265	  4.66537   4.47484
 132.0  0.250	   0.201  0.91240	  4.66537   4.47489
 134.0  0.250	   0.194  0.91216	  4.66537   4.47494
 136.0  0.250	   0.188  0.91192	  4.66537   4.47498
 138.0  0.250	   0.181  0.91169	  4.66537   4.47503
 140.0  0.250	   0.174  0.91147	  4.66537   4.47508
 142.0  0.250	   0.167  0.91126	  4.66537   4.47512
 144.0  0.250	   0.159  0.91106	  4.66537   4.47516
 146.0  0.250	   0.151  0.91087	  4.66537   4.47520
 148.0  0.250	   0.143  0.91069	  4.66537   4.47524
 150.0  0.250	   0.135  0.91051	  4.66537   4.47527
 152.0  0.250	   0.127  0.91035	  4.66537   4.47530
 154.0  0.250	   0.119  0.91020	  4.66538   4.47534
 156.0  0.250	   0.110  0.91006	  4.66538   4.47536
 158.0  0.250	   0.101  0.90993	  4.66538   4.47539
 160.0  0.250	   0.093  0.90981	  4.66538   4.47541
 162.0  0.250	   0.084  0.90970	  4.66538   4.47544
 164.0  0.250	   0.075  0.90960	  4.66538   4.47546
 166.0  0.250	   0.066  0.90952	  4.66538   4.47547
 168.0  0.250	   0.056  0.90944	  4.66538   4.47549
 170.0  0.250	   0.047  0.90938	  4.66538   4.47550
 172.0  0.250	   0.038  0.90932	  4.66538   4.47551
 174.0  0.250	   0.028  0.90928	  4.66538   4.47552
 176.0  0.250	   0.019  0.90925	  4.66538   4.47553
 178.0  0.250	   0.009  0.90924	  4.66538   4.47553
 180.0  0.250	 180.000  0.90923	  4.66538   4.47553
 182.0  0.250	 179.991  0.90924	  4.66538   4.47553
 184.0  0.250	 179.981  0.90925	  4.66538   4.47553
 186.0  0.250	 179.972  0.90928	  4.66538   4.47552
 188.0  0.250	 179.962  0.90932	  4.66538   4.47551
 190.0  0.250	 179.953  0.90938	  4.66538   4.47550
 192.0  0.250	 179.944  0.90944	  4.66538   4.47549
 194.0  0.250	 179.934  0.90952	  4.66538   4.47547
 196.0  0.250	 179.925  0.90960	  4.66538   4.47546
 198.0  0.250	 179.916  0.90970	  4.66538   4.47544
 200.0  0.250	 179.907  0.90981	  4.66538   4.47541
 202.0  0.250	 179.899  0.90993	  4.66538   4.47539
 204.0  0.250	 179.890  0.91006	  4.66538   4.47536
 206.0  0.250	 179.881  0.91020	  4.66538   4.47534
 208.0  0.250	 179.873  0.91035	  4.66537   4.47530
 210.0  0.250	 179.865  0.91051	  4.66537   4.47527
 212.0  0.250	 179.857  0.91069	  4.66537   4.47524
 214.0  0.250	 179.849  0.91087	  4.66537   4.47520
 216.0  0.250	 179.841  0.91106	  4.66537   4.47516
 218.0  0.250	 179.833  0.91126	  4.66537   4.47512
 220.0  0.250	 179.826  0.91147	  4.66537   4.47508
 222.0  0.250	 179.819  0.91169	  4.66537   4.47503
 224.0  0.250	 179.812  0.91192	  4.66537   4.47498
 226.0  0.250	 179.806  0.91216	  4.66537   4.47494
 228.0  0.250	 179.799  0.91240	  4.66537   4.47489
 230.0  0.250	 179.793  0.91265	  4.66537   4.47484
 232.0  0.250	 179.787  0.91291	  4.66536   4.47478
 234.0  0.250	 179.782  0.91318	  4.66536   4.47473
