  90.0  0.250	 154.340  0.43515	  4.81837   4.78493
  92.0  0.250	 154.299  0.43589	  4.81840   4.78490
  94.0  0.250	 154.259  0.43664	  4.81842   4.78486
  96.0  0.250	 154.219  0.43739	  4.81844   4.78483
  98.0  0.250	 154.178  0.43815	  4.81847   4.78479
 100.0  0.250	 154.138  0.43891	  4.81849   4.78476
 102.0  0.250	 154.098  0.43967	  4.81851   4.78472
 104.0  0.250	 154.058  0.44043	  4.81853   4.78468
 106.0  0.250	 154.018  0.44118	  4.81854   4.78464
 108.0  0.250	 153.978  0.44194	  4.81856   4.78460
 110.0  0.250	 153.939  0.44269	  4.81858   4.78456
 112.0  0.250	 153.900  0.44344	  4.81859   4.78451
 114.0  0.250	 153.862  0.44419	  4.81861   4.78447
 116.0  0.250	 153.824  0.44493	  4.81862   4.78443
 118.0  0.250	 153.786  0.44566	  4.81863   4.78438
 120.0  0.250	 153.749  0.44639	  4.81864   4.78434
 122.0  0.250	 153.713  0.44710	  4.81865   4.78429
 124.0  0.250	 153.677  0.44781	  4.81865   4.78424
 126.0  0.250	 153.641  0.44851	  4.81866   4.78420
 128.0  0.250	 153.607  0.44920	  4.81867   4.78415
 130.0  0.250	 153.573  0.44987	  4.81867   4.78410
 132.0  0.250	 153.540  0.45054	  4.81867   4.78405
 134.0  0.250	 153.508  0.45119	  4.81867   4.78400
 136.0  0.250	 153.476  0.45182	  4.81867   4.78395
 138.0  0.250	 153.445  0.45244	  4.81867   4.78391
 140.0  0.250	 153.416  0.45305	  4.81867   4.78386
 142.0  0.250	 153.387  0.45364	  4.81867   4.78381
 144.0  0.250	 153.359  0.45421	  4.81866   4.78376
 146.0  0.250	 153.332  0.45476	  4.81865   4.78371
 148.0  0.250	 153.306  0.45530	  4.81865   4.78366
 150.0  0.250	 153.281  0.45581	  4.81864   4.78361
 152.0  0.250	 153.257  0.45630	  4.81863   4.78357
 154.0  0.250	 153.234  0.45678	  4.81861   4.78352
 156.0  0.250	 153.212  0.45723	  4.81860   4.78347
 158.0  0.250	 153.191  0.45766	  4.81859   4.78343
 160.0  0.250	 153.171  0.45806	  4.81857   4.78338
 162.0  0.250	 153.153  0.45845	  4.81856   4.78333
 164.0  0.250	 153.134  0.45880	  4.81854   4.78329
 166.0  0.250	 153.118  0.45914	  4.81852   4.78324
 168.0  0.250	 153.104  0.45945	  4.81850   4.78320
 170.0  0.250	 153.090  0.45973	  4.81848   4.78316
 172.0  0.250	 153.078  0.45999	  4.81845   4.78312
 174.0  0.250	 153.066  0.46023	  4.81843   4.78308
 176.0  0.250	 153.056  0.46043	  4.81841   4.78304
 178.0  0.250	 153.047  0.46062	  4.81838   4.78300
 180.0  0.250	 153.039  0.46077	  4.81835   4.78296
 182.0  0.250	 153.033  0.46090	  4.81833   4.78292
 184.0  0.250	 153.028  0.46099	  4.81830   4.78289
 186.0  0.250	 153.024  0.46107	  4.81827   4.78285
 188.0  0.250	 153.022  0.46111	  4.81824   4.78282
 190.0  0.250	 153.021  0.46113	  4.81821   4.78279
 192.0  0.250	 153.020  0.46112	  4.81818   4.78276
 194.0  0.250	 153.022  0.46108	  4.81814   4.78273
 196.0  0.250	 153.024  0.46101	  4.81811   4.78270
 198.0  0.250	 153.028  0.46092	  4.81808   4.78267
 200.0  0.250	 153.033  0.46080	  4.81804   4.78265
 202.0  0.250	 153.040  0.46065	  4.81801   4.78263
 204.0  0.250	 153.047  0.46047	  4.81797   4.78260
 206.0  0.250	 153.056  0.46027	  4.81794   4.78258
 208.0  0.250	 153.066  0.46004	  4.81790   4.78257
 210.0  0.250	 153.078  0.45978	  4.81786   4.78255
 212.0  0.250	 153.091  0.45950	  4.81782   4.78253
 214.0  0.250	 153.104  0.45920	  4.81779   4.78252
 216.0  0.250	 153.120  0.45886	  4.81775   4.78251
 218.0  0.250	 153.136  0.45850	  4.81771   4.78250
 220.0  0.250	 153.154  0.45812	  4.81767   4.78249
 222.0  0.250	 153.172  0.45772	  4.81763   4.78248
 224.0  0.250	 153.192  0.45729	  4.81760   4.78248
